case_id,r_m,web,design_variant,split_method,split_error_percent,nominal_load_fraction,load_fraction,face_layers_each_side,core_thickness_m,A66_N_per_m,A66h_N,equivalent_total_shear_range_N,face_shear_range_MPa,curve_C_MPa,curve_b,curve_source,face_damage_20y_proxy,face_status,core_shear_range_MPa,core_damage_20y,core_fatigue_status
b9_split0,10.25,forward,fatigue_robust_final,stiffness_based,0.0,0.49141199157758997,0.49141199157758997,5,0.06,119320000.0,217506857.54665366,231513.73513518577,6.17208026420114,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.017428927310644222,PASS,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
b9_split0,10.25,aft,fatigue_robust_final,stiffness_based,0.0,0.50858800842241,0.50858800842241,6,0.06,142920000.0,225109239.0780684,231513.73513518577,6.17208026420114,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.017428927310644222,PASS,0.011507268289188567,6.399653339848234e-21,SOURCED_CURVE_PASS
b10_split_minus10,10.25,forward,fatigue_robust_final,stiffness_based,-10.0,0.49141199157758997,0.44227079241983097,5,0.06,119320000.0,217506857.54665366,231513.73513518577,5.5548722377810265,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.0008348620406701743,PASS,0.010356541460269712,1.79228043329518e-21,SOURCED_CURVE_PASS
b10_split_minus10,10.25,aft,fatigue_robust_final,stiffness_based,-10.0,0.50858800842241,0.557729207580169,6,0.06,142920000.0,225109239.0780684,231513.73513518577,6.768443962239557,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.006022299434703791,PASS,0.012619132810955105,1.9500614670143526e-20,SOURCED_CURVE_PASS
b10_split_plus10,10.25,forward,fatigue_robust_final,stiffness_based,10.0,0.49141199157758997,0.540553190735349,5,0.06,119320000.0,217506857.54665366,231513.73513518577,6.789288290621254,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.0062103556577542485,PASS,0.012657995118107423,2.023858225520215e-20,SOURCED_CURVE_PASS
b10_split_plus10,10.25,aft,fatigue_robust_final,stiffness_based,10.0,0.50858800842241,0.459446809264651,6,0.06,142920000.0,225109239.0780684,231513.73513518577,5.575716566162722,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.0008667240706440181,PASS,0.010395403767422024,1.8752339804315114e-21,SOURCED_CURVE_PASS
b9_split_minus10,10.25,forward,fatigue_robust_final,stiffness_based,-10.0,0.49141199157758997,0.44227079241983097,5,0.06,119320000.0,217506857.54665366,231513.73513518577,5.5548722377810265,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.0067523235414352475,PASS,0.010356541460269712,1.79228043329518e-21,SOURCED_CURVE_PASS
b9_split_minus10,10.25,aft,fatigue_robust_final,stiffness_based,-10.0,0.50858800842241,0.557729207580169,6,0.06,142920000.0,225109239.0780684,231513.73513518577,6.768443962239557,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.03997478261789194,PASS,0.012619132810955105,1.9500614670143526e-20,SOURCED_CURVE_PASS
b9_split_plus10,10.25,forward,fatigue_robust_final,stiffness_based,10.0,0.49141199157758997,0.540553190735349,5,0.06,119320000.0,217506857.54665366,231513.73513518577,6.789288290621254,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.04109649890874038,PASS,0.012657995118107423,2.023858225520215e-20,SOURCED_CURVE_PASS
b9_split_plus10,10.25,aft,fatigue_robust_final,stiffness_based,10.0,0.50858800842241,0.459446809264651,6,0.06,142920000.0,225109239.0780684,231513.73513518577,5.575716566162722,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.0069838157346839465,PASS,0.010395403767422024,1.8752339804315114e-21,SOURCED_CURVE_PASS
nominal_b10_split0,14.35,forward,fatigue_robust_final,stiffness_based,0.0,0.49606240272152163,0.49606240272152163,5,0.06,119320000.0,191407126.42227527,224343.45020325202,6.860781861518907,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.006896203690720472,PASS,0.012791288216391182,2.2968697340444775e-20,SOURCED_CURVE_PASS
nominal_b10_split0,14.35,aft,fatigue_robust_final,stiffness_based,0.0,0.5039375972784784,0.5039375972784783,6,0.06,142920000.0,194445793.2349457,224343.45020325202,6.860781861518905,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.00689620369072046,PASS,0.01279128821639118,2.2968697340444712e-20,SOURCED_CURVE_PASS
b9_split0,14.35,forward,fatigue_robust_final,stiffness_based,0.0,0.49606240272152163,0.49606240272152163,5,0.06,119320000.0,191407126.42227527,224343.45020325202,6.860781861518907,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.04515949456359825,PASS,0.012791288216391182,2.2968697340444775e-20,SOURCED_CURVE_PASS
b9_split0,14.35,aft,fatigue_robust_final,stiffness_based,0.0,0.5039375972784784,0.5039375972784783,6,0.06,142920000.0,194445793.2349457,224343.45020325202,6.860781861518905,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.045159494563598176,PASS,0.01279128821639118,2.2968697340444712e-20,SOURCED_CURVE_PASS
