r_m,web,design_variant,split_method,face_layers_each_side,core_thickness_m,core_shear_range_MPa,core_damage_20y,core_fatigue_status
14.35,forward,fatigue_robust_final,stiffness_based,5,0.06,0.012791288216391182,2.2968697340444775e-20,SOURCED_CURVE_PASS
14.35,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01279128821639118,2.2968697340444712e-20,SOURCED_CURVE_PASS
18.45,forward,fatigue_robust_final,stiffness_based,5,0.06,0.012658814695685246,2.025441761566293e-20,SOURCED_CURVE_PASS
18.45,aft,fatigue_robust_final,stiffness_based,6,0.06,0.012658814695685248,2.0254417615662988e-20,SOURCED_CURVE_PASS
22.55,forward,fatigue_robust_final,stiffness_based,5,0.06,0.014177132906410456,7.95792438451067e-20,SOURCED_CURVE_PASS
22.55,aft,fatigue_robust_final,stiffness_based,6,0.06,0.014177132906410459,7.95792438451069e-20,SOURCED_CURVE_PASS
26.65,forward,fatigue_robust_final,stiffness_based,5,0.06,0.015750295243766064,2.8369997155606553e-19,SOURCED_CURVE_PASS
26.65,aft,fatigue_robust_final,stiffness_based,6,0.06,0.015750295243766064,2.8369997155606553e-19,SOURCED_CURVE_PASS
30.75,forward,fatigue_robust_final,stiffness_based,5,0.06,0.014782485114950958,1.3187455483380638e-19,SOURCED_CURVE_PASS
30.75,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01478248511495096,1.3187455483380672e-19,SOURCED_CURVE_PASS
34.85,forward,fatigue_robust_final,stiffness_based,5,0.06,0.01566747043098447,2.661940364399689e-19,SOURCED_CURVE_PASS
34.85,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01566747043098447,2.661940364399689e-19,SOURCED_CURVE_PASS
38.95,forward,fatigue_robust_final,stiffness_based,5,0.06,0.014406726031185032,9.662301804959702e-20,SOURCED_CURVE_PASS
38.95,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01440672603118503,9.662301804959678e-20,SOURCED_CURVE_PASS
43.05,forward,fatigue_robust_final,stiffness_based,5,0.06,0.01475170262882678,1.2859526192813126e-19,SOURCED_CURVE_PASS
43.05,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01475170262882678,1.2859526192813126e-19,SOURCED_CURVE_PASS
47.15,forward,fatigue_robust_final,stiffness_based,5,0.06,0.011537444588073377,6.605354264088356e-21,SOURCED_CURVE_PASS
47.15,aft,fatigue_robust_final,stiffness_based,6,0.06,0.01153744458807338,6.605354264088367e-21,SOURCED_CURVE_PASS
51.25,forward,fatigue_robust_final,stiffness_based,5,0.06,0.008563785727177343,1.8039088030640051e-22,SOURCED_CURVE_PASS
51.25,aft,fatigue_robust_final,stiffness_based,6,0.06,0.008563785727177345,1.8039088030640087e-22,SOURCED_CURVE_PASS
54.6667,forward,fatigue_robust_final,stiffness_based,5,0.06,0.005052559017730445,3.0763054798848944e-25,SOURCED_CURVE_PASS
54.6667,aft,fatigue_robust_final,stiffness_based,6,0.06,0.005052559017730446,3.076305479884905e-25,SOURCED_CURVE_PASS
57.4,forward,fatigue_robust_final,stiffness_based,5,0.06,0.0028775694403331796,3.4248663063919832e-28,SOURCED_CURVE_PASS
57.4,aft,fatigue_robust_final,stiffness_based,6,0.06,0.0028775694403331796,3.4248663063919832e-28,SOURCED_CURVE_PASS
60.1333,forward,fatigue_robust_final,stiffness_based,5,0.06,0.004571437636658298,9.184375352096003e-26,SOURCED_CURVE_PASS
60.1333,aft,fatigue_robust_final,stiffness_based,6,0.06,0.0045714376366582975,9.184375352096003e-26,SOURCED_CURVE_PASS
