forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
4,9,0.1,1,0,4773.055517828474,0.19591444272885616,0.17587530215247893,1.4244894581353181e-19,PASS,False
4,10,0.05,1,0,4309.69761067128,0.21891303294183595,0.09936747620564092,6.619741276871421e-20,PASS,False
4,10,0.06,1,0,4452.522853491877,0.21863538303703023,0.09815940032159044,6.511943808337822e-20,PASS,False
4,10,0.08,1,0,4738.173339133071,0.21808226460618851,0.09579189884979324,6.302007398775848e-20,PASS,False
4,10,0.1,1,0,5023.823824774266,0.21753203568769308,0.09348767377462376,6.099379777303052e-20,PASS,False
4,11,0.05,1,0,4560.465917617072,0.23768379588650457,0.05484275055662604,2.9811227766671254e-20,PASS,False
4,11,0.06,1,0,4703.2911604376695,0.23740166462209988,0.054218330591694515,2.935654050061256e-20,PASS,False
4,11,0.08,1,0,4988.941646078863,0.2368394712011036,0.05299304926077413,2.846953177076338e-20,PASS,False
4,11,0.1,1,0,5274.592131720057,0.23628001977106194,0.05179845758568822,2.761147009061036e-20,PASS,False
4,12,0.05,1,0,4811.234224562864,0.25410450074514945,0.03140434511336553,1.4105493493627716e-20,PASS,False
4,12,0.06,1,0,4954.059467383462,0.2538211480185535,0.031068135907289036,1.3903175558737317e-20,PASS,False
4,12,0.08,1,0,5239.709953024656,0.25325639099381814,0.030407649066420135,1.3507902482935598e-20,PASS,False
4,12,0.1,1,0,5525.36043866585,0.25269421702101547,0.029762727055088138,1.3124768832876556e-20,PASS,False
5,2,0.05,1,0,2575.523236882536,0.24700551070110477,115.19230702126109,8.583224136887627e-16,FAIL,False
5,2,0.06,1,0,2718.348479703133,0.24649508377472507,111.9763218629993,8.263133576888081e-16,FAIL,False
5,2,0.08,1,0,3003.998965344327,0.24548192651766582,105.84397162475761,7.661502074773234e-16,FAIL,False
5,2,0.1,1,0,3289.6494509855215,0.2444789030831248,100.08820332442798,7.107558235477188e-16,FAIL,False
5,3,0.05,1,0,2826.291543828328,0.1648225680979648,19.83904377063827,8.09698285142379e-17,FAIL,False
5,3,0.06,1,0,2969.116786648925,0.1645529637370814,19.405196008755244,7.860212001901485e-17,FAIL,False
5,3,0.08,1,0,3254.7672722901198,0.16401737606376032,18.568882611740296,7.408913273063243e-17,FAIL,False
5,3,0.1,1,0,3540.4177579313136,0.16348656265788564,17.772567505237483,6.985612772425913e-17,FAIL,False
