panel,load_case,a_over_b,a_m,applied_Nx_N_per_m,global_CLPT_Nx_N_per_m,global_shear_corrected_Nx_N_per_m,face_wrinkling_Nx_N_per_m,core_shear_crimping_Nx_N_per_m,face_compression_Nx_N_per_m,governing_mode,reserve_factor,margin_of_safety
LE_upper_sandwich,109MPa_reference,1.55,1.2437818681500672,433392.3444976077,1610270.759302137,740808.4845654708,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7093252660570706,0.7093252660570706
LE_upper_sandwich,109MPa_reference,1.575,1.2638428660234553,433392.3444976077,1624215.2846774075,743746.0792532236,1682652.061232267,1225000.0,2100000.0,global_buckling,1.716103407676434,0.7161034076764341
LE_upper_sandwich,109MPa_reference,1.6,1.2839038638968436,433392.3444976077,1638829.2633050764,746795.501378364,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7231395774746694,0.7231395774746694
LE_upper_sandwich,109MPa_reference,1.625,1.3039648617702317,433392.3444976077,1654092.4167974084,749948.9385217866,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7304157492471035,0.7304157492471035
LE_upper_sandwich,109MPa_reference,1.6500000000000001,1.32402585964362,433392.3444976077,1669985.991278313,753198.9912521002,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7379148497078676,0.7379148497078676
LE_upper_sandwich,109MPa_reference,1.675,1.3440868575170082,433392.3444976077,1686492.6218893607,756538.6493568942,1682652.061232267,1225000.0,2100000.0,global_buckling,1.74562070364644,0.74562070364644
LE_upper_sandwich,109MPa_reference,1.7000000000000002,1.3641478553903965,433392.3444976077,1684056.3905712247,756048.0150144898,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7444886247146507,0.7444886247146507
LE_upper_sandwich,109MPa_reference,1.725,1.3842088532637846,433392.3444976077,1668139.1191537448,752823.0721612563,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7370474622341003,0.7370474622341003
LE_upper_sandwich,109MPa_reference,1.75,1.4042698511371727,433392.3444976077,1653229.298655363,749771.4631956422,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7300062465680701,0.7300062465680701
LE_upper_sandwich,109MPa_reference,1.7750000000000001,1.424330849010561,433392.3444976077,1639275.290857032,746888.1061404855,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7233532516738037,0.7233532516738037
LE_upper_sandwich,109MPa_reference,1.8,1.4443918468839492,433392.3444976077,1626229.0184452613,744168.0403933538,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7170770315659363,0.7170770315659363
LE_upper_sandwich,109MPa_reference,1.8250000000000002,1.4644528447573373,433392.3444976077,1614045.6743586855,741606.4276028597,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7111664223384855,0.7111664223384855
LE_upper_sandwich,109MPa_reference,1.85,1.4845138426307254,433392.3444976077,1602683.4584409038,739198.5519472387,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7056105428076362,0.7056105428076362
LE_upper_sandwich,109MPa_reference,1.875,1.5045748405041135,433392.3444976077,1592103.3385066183,736939.8198956223,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7003987939609078,0.7003987939609078
LE_upper_sandwich,109MPa_reference,1.9000000000000001,1.5246358383775018,433392.3444976077,1582268.833268392,734825.7595239007,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6955208573785894,0.6955208573785894
LE_upper_sandwich,109MPa_reference,1.925,1.54469683625089,433392.3444976077,1573145.8148677389,732852.0194493207,1682652.061232267,1225000.0,2100000.0,global_buckling,1.690966692775456,0.6909666927754561
LE_upper_sandwich,109MPa_reference,1.9500000000000002,1.5647578341242783,433392.3444976077,1564702.329012914,731014.3674409426,1682652.061232267,1225000.0,2100000.0,global_buckling,1.686726534794566,0.6867265347945659
LE_upper_sandwich,109MPa_reference,1.975,1.5848188319976664,433392.3444976077,1556908.4309518803,729308.688756707,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6827908891702466,0.6827908891702466
LE_upper_sandwich,109MPa_reference,2.0,1.6048798298710545,433392.3444976077,1549736.035706957,727730.9842521317,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6791505283641408,0.6791505283641408
